URL	MIME Type	From	To	Captures	Duplicates	Uniques
http://www.microfocus.co.jp:80/manuals/SE40SP2/caejbs.htm	text/html	May 6, 2017	Jun 7, 2017	2	1	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/atexam.htm	text/html	Nov 19, 2009	Nov 19, 2009	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/atexamcn.htm	text/html	Nov 19, 2009	Feb 28, 2014	3	2	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/fhpubb.htm	text/html	Dec 26, 2013	Mar 28, 2023	3	2	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrclancn.htm	text/html	Nov 19, 2009	Nov 19, 2009	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrfrnt.htm	text/html	Nov 19, 2009	Nov 19, 2009	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrpdf2.htm	text/html	Nov 19, 2009	Nov 19, 2009	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrpdf2cn.htm	text/html	Nov 19, 2009	Nov 19, 2009	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrpdf3cn.htm	text/html	Nov 19, 2009	Nov 19, 2009	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrpdf4.htm	text/html	Nov 18, 2009	Jun 30, 2013	4	3	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrpdf5cn.htm	text/html	Nov 19, 2009	Nov 19, 2009	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrpdf6.htm	text/html	Jan 11, 2007	Nov 19, 2009	5	4	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrpdf6cn.htm	text/html	Nov 19, 2009	Nov 19, 2009	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrpdfc.htm	text/html	Nov 19, 2009	Nov 19, 2009	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrpdfccn.htm	text/html	Nov 19, 2009	Nov 19, 2009	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrpubb.htm	text/html	Dec 26, 2013	Mar 28, 2023	2	1	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrpubb19.htm	text/html	Jun 28, 2013	Feb 23, 2015	10	9	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/lrtocc.htm	text/html	Dec 26, 2013	Dec 26, 2013	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/pradva.htm	text/html	Dec 26, 2013	Dec 26, 2013	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/pradvacn.htm	text/html	Dec 26, 2013	Dec 26, 2013	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/prcall.htm	text/html	Dec 25, 2013	Apr 30, 2014	6	5	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/prcallcn.htm	text/html	Dec 26, 2013	Dec 26, 2013	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/prcblrcn.htm	text/html	Dec 29, 2013	Feb 28, 2014	2	1	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/prenvicn.htm	text/html	Dec 29, 2013	Feb 28, 2014	2	1	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/prfrnt.htm	text/html	Dec 26, 2013	Dec 28, 2013	2	1	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/prwrit.htm	text/html	Jun 29, 2013	Jul 2, 2014	10	9	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/classic/prwritcn.htm	text/html	Dec 26, 2013	Dec 28, 2013	2	1	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/cyconf.htm	text/html	Feb 7, 2017	Feb 7, 2017	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/cytocc.htm	text/html	Sep 11, 2011	Feb 7, 2017	2	1	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/diimtk.htm	text/html	Oct 29, 2012	Oct 29, 2012	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/diintr.htm	text/html	Oct 29, 2012	Oct 29, 2012	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/diwint.htm	text/html	Oct 29, 2012	Nov 23, 2022	2	1	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/diwmap.htm	text/html	Oct 28, 2012	Jan 4, 2013	3	2	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/ghakey.htm	text/html	Jun 8, 2011	Mar 28, 2023	4	3	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/jjtocc.htm	text/html	Jul 2, 2006	Mar 28, 2023	2	1	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/lhexam0a.htm	text/html	May 6, 2017	Jun 7, 2017	2	1	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/lhpdf804.htm	text/html	Mar 25, 2017	May 14, 2017	2	1	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/rhcall2e.htm	text/html	Dec 18, 2016	Dec 18, 2016	1	0	1
http://www.microfocus.co.jp:80/manuals/SE40SP2/sx40indx.htm	text/html	Jun 30, 2006	Aug 10, 2024	7	6	1
https://www.microfocus.co.jp/manuals/SE40SP2/	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/adpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/blank.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/capubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/ccpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/cgpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/classic/atpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/classic/dbpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/classic/empubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/classic/fspubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/classic/prpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
URL	MIME Type	From	To	Captures	Duplicates	Uniques
https://www.microfocus.co.jp/manuals/SE40SP2/classic/udpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/connector/	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/cypubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/dialm.gif	image/gif	Aug 11, 2024	Aug 11, 2024	1	0	1
